,Maker,Model,Description,Name,Year,City,Year2,Color,Power,Motor,Chasis,Kilometers,Fuel,Price,Link,largo,ancho,alto,batalla,pesomax,numpuertas,numplazas,cilindrada,numcilindros,velmax,consurb,conscarr,consmed,emisiones
142,VOLKSWAGEN,Golf,1.6TDI Business Edition 85kW,VOLKSWAGEN Golf 1.6TDI Business Edition 85kW,2017,Orense,02/2017,"blanco
                     / Metalizado",115,Manual,Berlina,90.000 km,Diesel,15.200 €,/coches-segunda-mano/volkswagen-golf-ocasion/golf-1-6tdi-edition-business-115-ref7012172,Largo 4.258 mm,Ancho 1.790 mm,Alto 1.492 mm,(mm)2.620,(kg)1.800,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)198,"Urbano (l/100 km)4,70","Carretera (l/100 km)3,90","Medio (l/100 km)4,20",CO2 (g/km)109
143,FORD,EcoSport,1.5TDCi Titanium S 95,FORD EcoSport 1.5TDCi Titanium S 95,2017,Castellón,07/2017,Blanco,95,Manual,Todo Terreno,117.799 km,Diesel,13.850 €,/coches-segunda-mano/ford-ecosport-ocasion/ecosport-1-50tdci-titanium-s-95-ref7121423,Largo 4.017 mm,Ancho 1.765 mm,Alto 1.633 mm,(mm)2.519,(kg)1.686,puertas5,plazas5,(cm3)1.499,cilindros4,(km/h)-,"Urbano (l/100 km)4,90","Carretera (l/100 km)4,40","Medio (l/100 km)4,60",CO2 (g/km)115
144,BMW,Serie 2,218d Active Tourer,BMW Serie 2 218d Active Tourer,2015,Ciudad Real,10/2015,Rojo,150,Manual,Monovolumen,119.753 km,Diesel,15.950 €,/coches-segunda-mano/bmw-serie-2-ocasion/218d-active-tourer-ref7104507,Largo 4.342 mm,Ancho 1.800 mm,Alto 1.555 mm,(mm)2.670,(kg)1.935,puertas5,plazas5,(cm3)1.995,cilindros4,(km/h)208,"Urbano (l/100 km)4,80","Carretera (l/100 km)3,90","Medio (l/100 km)4,30",CO2 (g/km)112
145,OPEL,Corsa,1.4 Business 90,OPEL Corsa 1.4 Business 90,2018,Murcia,03/2018,Blanco,90,Manual,Berlina,56.213 km,Gasolina,10.450 €,/coches-segunda-mano/opel-corsa-ocasion/corsa-1-4-business-90-ref7173895,Largo 4.021 mm,Ancho 1.746 mm,Alto 1.481 mm,(mm)2.510,(kg)1.615,puertas5,plazas5,(cm3)1.398,cilindros4,(km/h)175,"Urbano (l/100 km)6,50","Carretera (l/100 km)4,30","Medio (l/100 km)5,10",CO2 (g/km)120
146,SEAT,León,ST 1.6TDI CR S&S Style 115,SEAT León ST 1.6TDI CR S&S Style 115,2018,Guipúzcoa,02/2018,Negro,115,Manual,Stationwagon,124.803 km,Diesel,13.400 €,/coches-segunda-mano/seat-leon-ocasion/leon-st-1-6tdi-cr-s-s-style-115-ref7116695,Largo 4.549 mm,Ancho 1.816 mm,Alto 1.454 mm,(mm)2.636,(kg)1.920,puertas5,plazas5,(cm3)1.598,cilindros4,(km/h)194,"Urbano (l/100 km)4,60","Carretera (l/100 km)3,50","Medio (l/100 km)3,90",CO2 (g/km)102
147,VOLKSWAGEN,Polo,1.2 TSI BMT Advance DSG 66kW,VOLKSWAGEN Polo 1.2 TSI BMT Advance DSG 66kW,2017,Granada,01/2017,Gris Plata,90,Automático,Berlina,51.894 km,Gasolina,15.900 €,/coches-segunda-mano/volkswagen-polo-ocasion/polo-1-2-tsi-bmt-advance-dsg-90-1-ref7087078,Largo 3.972 mm,Ancho 1.682 mm,Alto 1.453 mm,(mm)2.470,(kg)1.620,puertas5,plazas5,(cm3)1.197,cilindros4,(km/h)184,"Urbano (l/100 km)5,80","Carretera (l/100 km)4,10","Medio (l/100 km)4,70",CO2 (g/km)109
148,OPEL,Corsa,1.4 S/S 120 Aniversario 90,OPEL Corsa 1.4 S/S 120 Aniversario 90,2019,Alicante,10/2019,Rojo,90,Manual,Berlina,37.307 km,Gasolina,12.350 €,/coches-segunda-mano/opel-corsa-ocasion/corsa-1-4-s-s-120-aniversario-90-ref7162742,Largo 4.021 mm,Ancho 1.746 mm,Alto 1.481 mm,(mm)2.510,(kg)1.615,puertas5,plazas5,(cm3)1.398,cilindros4,(km/h)175,"Urbano (l/100 km)6,50","Carretera (l/100 km)4,30","Medio (l/100 km)5,10",CO2 (g/km)132
149,CITROEN,C4 Aircross,1.6HDI S&S Exclusive 4WD 115,CITROEN C4 Aircross 1.6HDI S&S Exclusive 4WD 115,2014,Valencia,07/2014,Marrón,114,Manual,Todo Terreno,111.364 km,Diesel,14.400 €,/coches-segunda-mano/citroen-c4-aircross-ocasion/c4-aircross-1-6hdi-s-s-exclusive-4wd-115-ref7114566,Largo 4.340 mm,Ancho 1.800 mm,Alto 1.625 mm,(mm)2.670,(kg)2.130,puertas5,plazas5,(cm3)1.560,cilindros4,(km/h)180,"Urbano (l/100 km)5,60","Carretera (l/100 km)4,70","Medio (l/100 km)5,00",CO2 (g/km)132
150,FIAT,Qubo,Fiorino 1.3Mjt Dynamic 80,FIAT Qubo Fiorino 1.3Mjt Dynamic 80,2016,Valencia,08/2016,Verde,80,Manual,Monovolumen,134.704 km,Diesel,10.700 €,/coches-segunda-mano/fiat-qubo-ocasion/fiorino-qubo-1-3mjt-dynamic-80-ref7180658,Largo 3.860 mm,Ancho 1.720 mm,Alto 1.740 mm,(mm)2.513,(kg)1.700,puertas5,plazas5,(cm3)1.248,cilindros4,(km/h)161,"Urbano (l/100 km)5,70","Carretera (l/100 km)3,80","Medio (l/100 km)4,50",CO2 (g/km)118
151,SMART,Fortwo,Coupé 52 mhd Pulse Aut.,SMART Fortwo Coupé 52 mhd Pulse Aut.,2014,Alicante,04/2014,Blanco,71,Automático,Berlina,28.785 km,Gasolina,9.900 €,/coches-segunda-mano/smart-fortwo-ocasion/fortwo-coupe-52-mhd-pulse-2-ref7180298,Largo 2.695 mm,Ancho 1.559 mm,Alto 1.565 mm,(mm)1.867,(kg)945,puertas3,plazas2,(cm3)999,cilindros3,(km/h)145,"Urbano (l/100 km)4,50","Carretera (l/100 km)3,90","Medio (l/100 km)4,20",CO2 (g/km)97
